FILE,STRATEGY,TP_SL, END_BALANCE__1 , END_BALANCE__2 , END_BALANCE__3 ,WIN_RATE__1,WIN_RATE__2,WIN_RATE__3, NBR_TRADES__1 , NBR_TRADES__2 , NBR_TRADES__3 , MAX_END_BALANCE 
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_2,TP_AI_1  --  SL_AI_1, 70 ," 2,600 ", 69 ,76%,52%,73%, 62 , 67 , 67 ," 2,600 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 47 ," 2,555 ", 65 ,71%,62%,65%, 35 , 68 , 68 ," 2,555 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_20,TP_AI_2  --  SL_AI_1, 2 ," 2,555 ", 0 ,28%,62%,28%, 53 , 68 , 68 ," 2,555 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 62 ," 2,549 ", 48 ,80%,64%,84%, 20 , 25 , 25 ," 2,549 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 62 ," 2,549 ", 48 ,80%,64%,84%, 20 , 25 , 25 ," 2,549 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 26 ," 2,549 ", 26 ,50%,64%,52%, 24 , 25 , 25 ," 2,549 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 26 ," 2,549 ", 26 ,50%,64%,52%, 24 , 25 , 25 ," 2,549 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,426 ", -   ,71%,58%,66%, 35 , 38 , 38 ," 2,426 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,426 ", -   ,74%,58%,66%, 34 , 38 , 38 ," 2,426 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_30,TP_AI_1  --  SL_AI_1, 39 ," 2,382 ", 59 ,79%,51%,74%, 150 , 181 , 181 ," 2,382 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 38 ," 2,382 ", 87 ,88%,51%,78%, 121 , 181 , 181 ," 2,382 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 36 ," 2,381 ", 87 ,87%,51%,77%, 117 , 186 , 186 ," 2,381 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_30,TP_AI_1  --  SL_AI_1, 36 ," 2,381 ", 53 ,78%,51%,73%, 154 , 186 , 186 ," 2,381 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_ATR_1, 116 ," 2,330 ", 79 ,87%,56%,79%, 45 , 52 , 52 ," 2,330 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_AI_1, 96 ," 2,330 ", 102 ,78%,56%,75%, 49 , 52 , 52 ," 2,330 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,320 ", -   ,71%,52%,67%, 51 , 54 , 54 ," 2,320 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,320 ", -   ,71%,52%,67%, 51 , 54 , 54 ," 2,320 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,320 ", -   ,71%,52%,67%, 51 , 54 , 54 ," 2,320 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,320 ", -   ,76%,52%,70%, 50 , 54 , 54 ," 2,320 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,320 ", -   ,76%,52%,70%, 50 , 54 , 54 ," 2,320 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,320 ", -   ,76%,52%,70%, 50 , 54 , 54 ," 2,320 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_2,TP_AI_1  --  SL_AI_1, 78 ," 2,309 ", 77 ,78%,51%,75%, 58 , 63 , 63 ," 2,309 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_2,TP_AI_1  --  SL_ATR_1, 78 ," 2,309 ", 51 ,87%,51%,79%, 54 , 63 , 63 ," 2,309 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_AI_1, 279 ," 2,302 ", 214 ,83%,56%,79%, 133 , 140 , 140 ," 2,302 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_ATR_1, 128 ," 2,302 ", 148 ,91%,56%,85%, 122 , 140 , 140 ," 2,302 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  ROC_3,TP_AI_2  --  SL_ATR_2, 306 ," 2,287 ", 265 ,79%,55%,60%, 19 , 42 , 42 ," 2,287 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  ROC_3,TP_AI_2  --  SL_AI_1, 15 ," 2,287 ", 6 ,28%,55%,24%, 29 , 42 , 42 ," 2,287 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  ROC_3,TP_AI_1  --  SL_ATR_1, 163 ," 2,281 ", 131 ,87%,64%,82%, 31 , 33 , 33 ," 2,281 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  ROC_3,TP_AI_1  --  SL_AI_1, 38 ," 2,281 ", 36 ,56%,64%,55%, 32 , 33 , 33 ," 2,281 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 35 ," 2,267 ", 93 ,87%,50%,77%, 115 , 188 , 188 ," 2,267 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_30,TP_AI_1  --  SL_AI_1, 29 ," 2,267 ", 57 ,77%,50%,73%, 156 , 188 , 188 ," 2,267 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 94 ," 2,263 ", 85 ,68%,51%,55%, 84 , 146 , 146 ," 2,263 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_40,TP_AI_2  --  SL_AI_1, 0 ," 2,263 ", 0 ,36%,51%,32%, 102 , 146 , 146 ," 2,263 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_3,TP_AI_2  --  SL_ATR_2, 318 ," 2,261 ", 282 ,81%,51%,62%, 21 , 45 , 45 ," 2,261 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_2  --  SL_AI_1, 14 ," 2,261 ", 6 ,31%,51%,27%, 32 , 45 , 45 ," 2,261 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_3,TP_AI_2  --  SL_AI_1, 14 ," 2,261 ", 6 ,31%,51%,27%, 32 , 45 , 45 ," 2,261 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 65 ," 2,260 ", 60 ,88%,45%,64%, 8 , 11 , 11 ," 2,260 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 32 ," 2,260 ", 32 ,18%,45%,18%, 11 , 11 , 11 ," 2,260 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_2,TP_AI_1  --  SL_AI_1, 132 ," 2,237 ", 137 ,84%,65%,80%, 77 , 82 , 82 ," 2,237 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_2,TP_AI_1  --  SL_ATR_1, 43 ," 2,237 ", 97 ,90%,65%,85%, 72 , 82 , 82 ," 2,237 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 15 ," 2,227 ", 70 ,63%,52%,56%, 54 , 214 , 214 ," 2,227 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_10,TP_AI_2  --  SL_AI_1, 0 ," 2,227 ", -   ,22%,52%,29%, 112 , 214 , 214 ," 2,227 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 139 ," 2,218 ", 65 ,69%,53%,55%, 157 , 337 , 337 ," 2,218 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 2,218 ", -   ,30%,53%,24%, 228 , 337 , 337 ," 2,218 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 46 ," 2,214 ", 12 ,63%,51%,51%, 259 , 872 , 872 ," 2,214 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_2  --  SL_AI_1, -   ," 2,214 ", -   ,32%,51%,26%, 384 , 872 , 872 ," 2,214 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 75 ," 2,208 ", 56 ,61%,60%,55%, 18 , 47 , 47 ," 2,208 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 4 ," 2,208 ", 3 ,21%,60%,28%, 38 , 47 , 47 ," 2,208 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  ROC_2,TP_AI_1  --  SL_ATR_1, 142 ," 2,195 ", 97 ,87%,52%,79%, 45 , 52 , 52 ," 2,195 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  ROC_2,TP_AI_1  --  SL_ATR_1, 142 ," 2,195 ", 97 ,87%,52%,79%, 45 , 52 , 52 ," 2,195 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_2,TP_AI_1  --  SL_ATR_1, 142 ," 2,195 ", 97 ,87%,52%,79%, 45 , 52 , 52 ," 2,195 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  ROC_2,TP_AI_1  --  SL_AI_1, 78 ," 2,195 ", 82 ,73%,52%,71%, 49 , 52 , 52 ," 2,195 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  ROC_2,TP_AI_1  --  SL_AI_1, 78 ," 2,195 ", 82 ,73%,52%,71%, 49 , 52 , 52 ," 2,195 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_2,TP_AI_1  --  SL_AI_1, 78 ," 2,195 ", 82 ,73%,52%,71%, 49 , 52 , 52 ," 2,195 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_1  --  SL_AI_1, 90 ," 2,193 ", 107 ,72%,50%,71%, 29 , 34 , 34 ," 2,193 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 37 ," 2,193 ", 156 ,86%,50%,82%, 22 , 34 , 34 ," 2,193 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_2,TP_AI_1  --  SL_AI_1, 97 ," 2,193 ", 86 ,81%,59%,77%, 63 , 66 , 66 ," 2,193 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_2,TP_AI_1  --  SL_ATR_1, 69 ," 2,193 ", 90 ,87%,59%,86%, 61 , 66 , 66 ," 2,193 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 52 ," 2,187 ", 57 ,56%,50%,44%, 9 , 16 , 16 ," 2,187 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 26 ," 2,187 ", 17 ,8%,50%,6%, 12 , 16 , 16 ," 2,187 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 14 ," 2,177 ", 72 ,59%,53%,55%, 49 , 203 , 203 ," 2,177 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_10,TP_AI_2  --  SL_AI_1, 0 ," 2,177 ", -   ,22%,53%,30%, 107 , 203 , 203 ," 2,177 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,160 ", -   ,72%,56%,67%, 36 , 39 , 39 ," 2,160 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,160 ", -   ,72%,56%,67%, 36 , 39 , 39 ," 2,160 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,160 ", -   ,72%,56%,67%, 36 , 39 , 39 ," 2,160 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,160 ", -   ,74%,56%,67%, 35 , 39 , 39 ," 2,160 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,160 ", -   ,74%,56%,67%, 35 , 39 , 39 ," 2,160 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,160 ", -   ,74%,56%,67%, 35 , 39 , 39 ," 2,160 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 89 ," 2,156 ", 82 ,76%,67%,72%, 25 , 39 , 39 ," 2,156 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  STOCH_30,TP_AI_2  --  SL_AI_1, 15 ," 2,156 ", 9 ,39%,67%,41%, 33 , 39 , 39 ," 2,156 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_AI_1, 88 ," 2,154 ", 83 ,81%,61%,79%, 80 , 84 , 84 ," 2,154 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_ATR_1, 17 ," 2,154 ", 45 ,88%,61%,85%, 74 , 84 , 84 ," 2,154 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 77 ," 2,150 ", 56 ,63%,57%,55%, 19 , 49 , 49 ," 2,150 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 3 ," 2,150 ", 3 ,21%,57%,27%, 39 , 49 , 49 ," 2,150 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 128 ," 2,115 ", 128 ,100%,83%,100%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 128 ," 2,115 ", 128 ,100%,83%,100%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 128 ," 2,115 ", 128 ,100%,83%,100%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 128 ," 2,115 ", 128 ,100%,83%,100%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 108 ," 2,115 ", 108 ,83%,83%,83%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 108 ," 2,115 ", 108 ,83%,83%,83%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 108 ," 2,115 ", 108 ,83%,83%,83%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 108 ," 2,115 ", 108 ,83%,83%,83%, 6 , 6 , 6 ," 2,115 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 77 ," 2,114 ", 66 ,63%,56%,56%, 19 , 50 , 50 ," 2,114 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 3 ," 2,114 ", 3 ,20%,56%,26%, 40 , 50 , 50 ," 2,114 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 150 ," 2,114 ", 128 ,85%,65%,70%, 13 , 20 , 20 ," 2,114 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_30,TP_AI_2  --  SL_AI_1, 37 ," 2,114 ", 39 ,41%,65%,45%, 17 , 20 , 20 ," 2,114 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 97 ," 2,105 ", 110 ,76%,54%,66%, 25 , 41 , 41 ," 2,105 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_20,TP_AI_2  --  SL_AI_1, 9 ," 2,105 ", 10 ,37%,54%,39%, 38 , 41 , 41 ," 2,105 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 37 ," 2,105 ", 27 ,74%,53%,62%, 31 , 47 , 47 ," 2,105 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_20,TP_AI_2  --  SL_AI_1, 7 ," 2,105 ", 5 ,39%,53%,38%, 41 , 47 , 47 ," 2,105 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 37 ," 2,093 ", 27 ,74%,55%,63%, 31 , 49 , 49 ," 2,093 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_20,TP_AI_2  --  SL_AI_1, 5 ," 2,093 ", 4 ,37%,55%,37%, 43 , 49 , 49 ," 2,093 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_30,TP_AI_1  --  SL_ATR_1," 2,091 ", -   , 464 ,80%,47%,75%, 49 , 55 , 55 ," 2,091 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_30,TP_AI_1  --  SL_ATR_1," 2,091 ", -   , 400 ,80%,48%,73%, 49 , 56 , 56 ," 2,091 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_30,TP_AI_1  --  SL_ATR_1," 2,091 ", -   , 400 ,80%,48%,73%, 49 , 56 , 56 ," 2,091 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_AI_1, 65 ," 2,091 ", 95 ,68%,53%,71%, 37 , 45 , 45 ," 2,091 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 39 ," 2,091 ", 230 ,84%,53%,84%, 25 , 45 , 45 ," 2,091 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 141 ," 2,087 ", 141 ,100%,64%,100%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 141 ," 2,087 ", 141 ,100%,64%,100%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 141 ," 2,087 ", 141 ,100%,64%,100%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 141 ," 2,087 ", 141 ,100%,64%,100%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 77 ," 2,087 ", 77 ,64%,64%,64%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 77 ," 2,087 ", 77 ,64%,64%,64%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 77 ," 2,087 ", 77 ,64%,64%,64%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 77 ," 2,087 ", 77 ,64%,64%,64%, 11 , 11 , 11 ," 2,087 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 35 ," 2,086 ", 48 ,43%,56%,52%, 14 , 54 , 54 ," 2,086 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 3 ," 2,086 ", 1 ,19%,56%,26%, 37 , 54 , 54 ," 2,086 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 35 ," 2,086 ", 47 ,43%,56%,53%, 14 , 55 , 55 ," 2,086 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  STOCH_40,TP_AI_2  --  SL_AI_1, 3 ," 2,086 ", 1 ,18%,56%,25%, 38 , 55 , 55 ," 2,086 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_40,TP_AI_1  --  SL_AI_1, 72 ," 2,086 ", 108 ,69%,51%,72%, 36 , 43 , 43 ," 2,086 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 38 ," 2,086 ", 220 ,88%,51%,84%, 24 , 43 , 43 ," 2,086 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 62 ," 2,085 ", 49 ,64%,51%,53%, 216 , 616 , 616 ," 2,085 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_30,TP_AI_2  --  SL_AI_1, -   ," 2,085 ", -   ,33%,51%,28%, 285 , 616 , 616 ," 2,085 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 70 ," 2,063 ", 64 ,89%,42%,67%, 9 , 12 , 12 ," 2,063 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 70 ," 2,063 ", 64 ,89%,42%,67%, 9 , 12 , 12 ," 2,063 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 70 ," 2,063 ", 64 ,89%,42%,67%, 9 , 12 , 12 ," 2,063 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 34 ," 2,063 ", 34 ,25%,42%,25%, 12 , 12 , 12 ," 2,063 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 34 ," 2,063 ", 34 ,25%,42%,25%, 12 , 12 , 12 ," 2,063 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 34 ," 2,063 ", 34 ,25%,42%,25%, 12 , 12 , 12 ," 2,063 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 14 ," 2,046 ", 63 ,61%,52%,55%, 51 , 208 , 208 ," 2,046 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_10,TP_AI_2  --  SL_AI_1, 0 ," 2,046 ", -   ,22%,52%,29%, 108 , 208 , 208 ," 2,046 "
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,035 ", -   ,69%,67%,73%, 29 , 30 , 30 ," 2,035 "
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  ROC_1,TP_AI_1  --  SL_AI_1, -   ," 2,035 ", -   ,69%,67%,73%, 29 , 30 , 30 ," 2,035 "
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,035 ", -   ,79%,67%,80%, 29 , 30 , 30 ," 2,035 "
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  ROC_1,TP_AI_1  --  SL_ATR_1, -   ," 2,035 ", -   ,79%,67%,80%, 29 , 30 , 30 ," 2,035 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 36 ," 2,033 ", 25 ,72%,49%,56%, 29 , 41 , 41 ," 2,033 "
