DATE,OPEN,HIGH,LOW,CLOSE,TARGET,VOLUME,EMA_4,EMA_8,EMA_12,EMA_18,EMA_24,EMA_36,EMA_50,EMA_100,EMA_200,RSI_14,RSI_20,RSI_30,MACD,MACD_SIGNAL,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_WIDTH,VWAP,ROC,%K,%D,VOLATILITY,PREV_GAIN_UP,PREV_GAIN_DOWN,AVG_VOLATILITY_3,PREV_GAIN_UP_3,PREV_GAIN_DOWN_3,ENTROPY_3,RVOL_3,AVG_VOLATILITY_7,PREV_GAIN_UP_7,PREV_GAIN_DOWN_7,ENTROPY_7,RVOL_7,AVG_VOLATILITY_10,PREV_GAIN_UP_10,PREV_GAIN_DOWN_10,ENTROPY_10,RVOL_10,AVG_VOLATILITY_20,PREV_GAIN_UP_20,PREV_GAIN_DOWN_20,ENTROPY_20,RVOL_20,AVG_VOLATILITY_30,PREV_GAIN_UP_30,PREV_GAIN_DOWN_30,ENTROPY_30,RVOL_30,FIB_236,FIB_382,FIB_50,FIB_618,FIB_100,FIB_1618,FIB_2618,FIB_4236,STD_2,STD_5,STD_10,STD_20,STD_30
24/11/2020,18368.01,19418.97,18018,19160.01,18719.11,113581.5092,18333.05899,17919.88469,17469.12337,16849.4679,16307.54119,15432.23664,14679.33905,13121.50829,11618.76045,78.03043365,77.22636564,75.19536868,1325.745624,1210.467744,19234.25286,16532.5505,13830.84814,5403.404725,11189.9634,17.11118932,84.64340018,88.41279692,4.170296167,0.019122531,0.022993333,4.623596363,0.012740808,0.034670378,1.098612289,1.036221358,5.565325496,0.033222109,0.024212094,1.945910149,0.846720665,5.166418373,0.029769619,0.023552074,2.302585093,0.953720477,5.532654791,0.032412742,0.024935888,2.995732274,0.910042991,5.254153355,0.029669764,0.024593841,3.401197382,1.001238797,18180.776,18292.612,18383,18473.388,18766,19239.388,20005.388,21244.776,32.83096785,358.7849601,1026.584111,1385.944069,1840.453203
25/11/2020,19160,19484.21,18500.27,18719.11,17149.47,93266.57689,18663.83939,18195.46809,17729.25977,17092.68286,16535.73869,15633.7379,14855.05163,13241.08258,11693.79776,81.58044951,79.99372694,77.41158039,1362.427787,1240.859753,19482.84613,16783.3505,14083.85487,5398.991253,11254.42074,17.60480387,93.7544166,88.3808245,7.311948167,0.057216868,0.019425574,5.889457064,0.026269829,0.034826492,1.098612289,1.224868094,5.5414003,0.031602591,0.025474815,1.945910149,1.162012534,5.48879452,0.03544872,0.021346323,2.302585093,1.228788287,5.638778401,0.034434032,0.024064172,2.995732274,1.232031725,5.379685552,0.030971251,0.024662709,3.401197382,1.330583328,18348.62892,18553.17054,18718.485,18883.79946,19418.97,20284.76946,21685.73946,23952.50892,560.0356418,315.2439866,974.6525698,1384.812037,1893.269509
26/11/2020,18718.83,18915.03,16188,17149.47,17139.52,181005.2467,18685.94764,18311.83296,17881.54442,17263.88571,16710.4084,15800.51477,15006.58334,13349.55837,11763.70136,74.37547153,74.67629304,73.62343006,1340.469622,1260.781727,19706.38954,16939.805,14173.22046,5533.169083,11306.78886,14.69550938,81.07860133,86.49213937,5.256339644,0.01692119,0.035660561,5.579527993,0.031086863,0.026026489,1.098612289,0.965460558,5.277718497,0.02740626,0.026876851,1.945910149,1.038825799,5.760445906,0.036453577,0.023043312,2.302585093,0.957555278,5.370345263,0.029602812,0.025668218,2.995732274,1.040147749,5.433892915,0.031000177,0.025160338,3.401197382,1.078982793,18732.47984,18876.13508,18992.24,19108.34492,19484.21,20092.28492,21076.22492,22668.23984,311.7633798,316.2818887,712.2612782,1419.227924,1899.551877
27/11/2020,17149.47,17457.62,16438.08,17139.52,17719.85,85297.02479,18071.35658,18053.53008,17768.91759,17251.84195,16745.53333,15873.43127,15090.61811,13424.80414,11817.2911,55.56199561,59.78383755,62.38107403,1182.776476,1245.180677,19714.25906,17018.2825,14322.30594,5391.953113,11386.94029,6.714311049,38.78837295,71.2071303,15.90154098,0.010481424,0.156339881,9.489942931,0.028206494,0.070475339,1.098612289,1.400054335,6.871986562,0.025672842,0.045567925,1.945910149,1.7684656,6.742710726,0.031717424,0.038091067,2.302585093,1.685789853,5.91060714,0.028940291,0.032087282,2.995732274,1.95499555,5.775861165,0.029467007,0.030289024,3.401197382,2.016116447,16831.57908,17229.72546,17551.515,17873.30454,18915.03,20600.33454,23327.36454,27739.69908,1109.903088,747.8905685,618.5417543,1383.006792,1861.877161
28/11/2020,17139.53,17880.49,16865.56,17719.85,18184.99,64910.69997,17698.62195,17850.41673,17672.08719,17240.01859,16777.05226,15941.8685,15170.9672,13498.36287,11870.2486,55.46621546,59.70438841,62.31867099,1044.955049,1205.135551,19634.21631,17134.3435,14634.47069,4999.745624,11421.49388,7.410666165,38.52750635,52.79816021,5.948474636,0.017968485,0.043276952,9.035451754,0.0151237,0.078425798,1.098612289,0.711660856,6.898441788,0.02011577,0.051244872,1.945910149,0.837024853,6.589615736,0.026658924,0.04136011,2.302585093,0.817187701,5.732503989,0.02928162,0.029943785,2.995732274,0.929370998,5.730048294,0.029520055,0.029796559,3.401197382,0.953312294,16678.69144,16827.54428,16947.85,17068.15572,17457.62,18087.69572,19107.23572,20756.85144,7.035712489,922.565813,690.5048325,1282.407694,1796.319879
29/11/2020,17719.84,18360.05,17517,18184.99,19695.87,55329.0163,17707.11317,17821.4019,17679.43532,17290.52716,16852.47608,16037.97561,15270.92339,13581.95668,11928.45359,59.81708244,62.74407707,64.46354694,971.3611104,1158.380663,19637.58933,17246.581,14855.57267,4782.016656,11449.72493,6.020736444,52.43658832,43.25082254,5.727644421,0.043231057,0.016244346,9.192553346,0.023893656,0.071953727,1.098612289,0.587936212,7.214624411,0.023915949,0.050857317,1.945910149,0.646642091,6.452168951,0.026352478,0.040399913,2.302585093,0.676379755,5.713195132,0.028636846,0.030366922,2.995732274,0.707492988,5.742076568,0.030015067,0.029446372,3.401197382,0.728169333,17105.08348,17253.26326,17373.025,17492.78674,17880.49,18507.71674,19522.64674,21164.80348,410.3552783,922.2991561,694.4602776,1226.561392,1742.416151
30/11/2020,18185,19863.16,18184.99,19695.87,18764.96,115463.4669,17898.2639,17902.19926,17757.21296,17384.68114,16959.07719,16154.03044,15385.20051,13673.10585,11990.70768,62.94215239,64.97331031,66.06514624,939.7375842,1114.652047,19642.31182,17389.41,15136.50818,4505.803647,11475.684,2.976378559,64.11202665,51.69204044,4.635966256,0.036129559,0.011579608,5.437361771,0.032443034,0.023700302,1.098612289,0.80757848,6.993172896,0.028724445,0.043645751,1.945910149,0.572635779,6.441599125,0.0277039,0.039007638,2.302585093,0.600099226,5.607561187,0.029264333,0.028684721,2.995732274,0.621219833,5.76018402,0.030688532,0.028966455,3.401197382,0.624260067,17715.9598,17839.0451,17938.525,18038.0049,18360.05,18881.0549,19724.1049,21088.1598,328.9036482,681.4161242,681.5939315,1155.71425,1694.904592
01/12/2020,19695.87,19888,18001.12,18764.96,19204.09,127698.7627,18617.30634,18300.79275,18055.46789,17627.96418,17178.02062,16345.48123,15554.24637,13792.36851,12067.37596,70.86762451,70.92229655,70.52841312,1024.778097,1096.677257,19861.13693,17609.343,15357.54907,4503.587861,11539.23718,10.79960081,95.44808933,70.6655681,8.520415701,0.092282651,5.50E-07,6.294675459,0.057214422,0.009274835,1.098612289,1.469604254,7.614618544,0.039175891,0.040361068,1.945910149,1.140213347,6.71731189,0.031245366,0.038653861,2.302585093,1.216636608,5.906911815,0.03344923,0.027835684,2.995732274,1.258399894,5.877784999,0.032437442,0.028597139,3.401197382,1.27957922,18581.03812,18826.05094,19024.075,19222.09906,19863.16,20900.26906,22578.43906,25293.71812,1068.353494,1054.759958,820.4487592,1155.145913,1716.792908
02/12/2020,18764.96,19342,18330,19204.09,19421.9,75911.01348,18676.3678,18403.94103,18164.62052,17747.64795,17304.97577,16476.26386,15680.15671,13890.83567,12134.01859,62.06070436,63.88513087,65.07321975,1005.46627,1078.43506,19885.06544,17763.379,15641.69256,4243.372888,11605.06924,5.404424692,69.64756757,76.40256118,10.05533718,0.009754837,0.09414692,7.737239713,0.046055682,0.035242359,1.098612289,1.283442289,8.00653126,0.0323956,0.051035546,1.945910149,1.236414176,7.371409001,0.030557869,0.04617283,2.302585093,1.275508614,6.188973048,0.031754254,0.032462723,2.995732274,1.3553881,6.142234181,0.032511232,0.031274687,3.401197382,1.368945136,18446.42368,18721.90816,18944.56,19167.21184,19888,21054.09184,22940.97184,25993.94368,658.2527737,982.4905374,823.8031745,1088.402181,1667.997904
03/12/2020,19204.08,19598,18867.2,19421.9,18650.52,66689.39128,18887.45668,18581.75191,18324.5389,17900.95764,17456.90491,16623.71393,15818.35017,13996.04862,12204.36756,64.31363876,65.58093564,66.34356796,1013.907929,1065.529633,20006.32179,17908.9905,15811.65921,4194.662577,11644.03928,2.939696082,81.51594595,82.20386762,5.269710775,0.030750932,0.023729405,7.948487886,0.044262806,0.039292292,1.098612289,0.713732804,8.008441422,0.034371278,0.049331095,1.945910149,0.753069196,7.279767393,0.033385953,0.042339713,2.302585093,0.762599161,6.176228617,0.031199096,0.032860333,2.995732274,0.817113977,6.161684682,0.033370317,0.030634726,3.401197382,0.810489029,18568.832,18716.584,18836,18955.416,19342,19967.416,20979.416,22616.832,310.5118008,786.6129318,869.2176282,1075.90825,1603.292406
